round,team_a_id_canon,team_a_name,team_b_id_canon,team_b_name,matchup_count,matchup_pct,team_a_wins,team_b_wins,team_a_win_pct_when_met,team_b_win_pct_when_met,simulation_count
Final4,clemson,Clemson,connecticut,Connecticut,422,0.422,84,338,19.90521327014218,80.09478672985783,100000
Final4,michigan,Michigan,villanova,Villanova,419,0.41900000000000004,351,68,83.7708830548926,16.2291169451074,100000
Final4,mia_oh,MIA OH,purdue,Purdue,395,0.395,106,289,26.83544303797468,73.16455696202532,100000
Final4,duke,Duke,texas_a_and_m,Texas A&M,389,0.38899999999999996,345,44,88.68894601542416,11.311053984575835,100000
Final4,saint_marys,Saint Mary's,st_johns,St. John's,380,0.38,129,251,33.94736842105263,66.05263157894737,100000
Final4,purdue,Purdue,saint_louis,Saint Louis,375,0.375,287,88,76.53333333333333,23.466666666666665,100000
Final4,florida,Florida,tcu,TCU,363,0.363,283,80,77.96143250688705,22.03856749311295,100000
Final4,gonzaga,Gonzaga,tennessee,Tennessee,355,0.35500000000000004,247,108,69.57746478873239,30.422535211267604,100000
Final4,florida,Florida,ohio_state,Ohio State,354,0.35400000000000004,280,74,79.09604519774011,20.903954802259886,100000
Final4,gonzaga,Gonzaga,kentucky,Kentucky,353,0.35300000000000004,247,106,69.97167138810198,30.02832861189802,100000
Final4,houston,Houston,ohio_state,Ohio State,350,0.35000000000000003,267,83,76.28571428571429,23.714285714285715,100000
Final4,utah_st,Utah St.,virginia,Virginia,349,0.349,117,232,33.5243553008596,66.4756446991404,100000
Final4,st_johns,St. John's,vcu,VCU,342,0.34199999999999997,225,117,65.78947368421053,34.21052631578947,100000
Final4,illinois,Illinois,michigan_st,Michigan St.,332,0.332,192,140,57.831325301204814,42.168674698795186,100000
Final4,gonzaga,Gonzaga,santa_clara,Santa Clara,327,0.327,230,97,70.33639143730886,29.66360856269113,100000
Final4,illinois,Illinois,kansas,Kansas,320,0.32,167,153,52.1875,47.8125,100000
Final4,connecticut,Connecticut,mcneese,McNeese,319,0.319,248,71,77.74294670846395,22.25705329153605,100000
Final4,north_carolina,North Carolina,st_johns,St. John's,311,0.311,105,206,33.762057877813504,66.2379421221865,100000
Final4,arkansas,Arkansas,kentucky,Kentucky,308,0.308,213,95,69.15584415584416,30.844155844155846,100000
Final4,akron,Akron,gonzaga,Gonzaga,299,0.299,86,213,28.762541806020064,71.23745819397993,100000
Final4,miami_fl,Miami (FL),virginia,Virginia,297,0.297,70,227,23.56902356902357,76.43097643097643,100000
Final4,arkansas,Arkansas,tennessee,Tennessee,296,0.296,203,93,68.58108108108108,31.41891891891892,100000
Final4,kansas,Kansas,nebraska,Nebraska,276,0.27599999999999997,150,126,54.347826086956516,45.65217391304348,100000
Final4,kansas,Kansas,vanderbilt,Vanderbilt,262,0.262,133,129,50.76335877862596,49.23664122137404,100000
Final4,georgia,Georgia,purdue,Purdue,259,0.259,53,206,20.463320463320464,79.53667953667953,100000
Final4,illinois,Illinois,ucla,UCLA,258,0.258,146,112,56.58914728682171,43.41085271317829,100000
Final4,arkansas,Arkansas,santa_clara,Santa Clara,254,0.254,180,74,70.86614173228347,29.133858267716533,100000
Final4,michigan,Michigan,missouri,Missouri,252,0.252,216,36,85.71428571428571,14.285714285714285,100000
Final4,arizona,Arizona,hofstra,Hofstra,243,0.243,225,18,92.5925925925926,7.4074074074074066,100000
Final4,michigan_st,Michigan St.,nebraska,Nebraska,239,0.23900000000000002,106,133,44.35146443514644,55.64853556485355,100000
Final4,akron,Akron,arkansas,Arkansas,232,0.232,76,156,32.758620689655174,67.24137931034483,100000
Final4,illinois,Illinois,louisville,Louisville,231,0.231,130,101,56.27705627705628,43.722943722943725,100000
Final4,gonzaga,Gonzaga,mia_oh,MIA OH,229,0.22899999999999998,174,55,75.9825327510917,24.017467248908297,100000
Final4,michigan_st,Michigan St.,vanderbilt,Vanderbilt,223,0.22300000000000003,102,121,45.73991031390135,54.26008968609865,100000
Final4,iowa_st,Iowa St.,wisconsin,Wisconsin,216,0.216,112,104,51.85185185185185,48.148148148148145,100000
Final4,florida,Florida,ucf,UCF,210,0.21,177,33,84.28571428571429,15.714285714285714,100000
Final4,clemson,Clemson,st_johns,St. John's,204,0.20400000000000001,48,156,23.52941176470588,76.47058823529412,100000
Final4,gonzaga,Gonzaga,saint_louis,Saint Louis,204,0.20400000000000001,154,50,75.49019607843137,24.509803921568626,100000
Final4,houston,Houston,ucf,UCF,202,0.202,165,37,81.68316831683168,18.316831683168317,100000
Final4,nebraska,Nebraska,ucla,UCLA,201,0.201,95,106,47.2636815920398,52.736318407960205,100000
Final4,louisville,Louisville,vanderbilt,Vanderbilt,200,0.2,78,122,39.0,61.0,100000
Final4,michigan,Michigan,texas,Texas,195,0.19499999999999998,179,16,91.7948717948718,8.205128205128204,100000
Final4,ucla,UCLA,vanderbilt,Vanderbilt,195,0.19499999999999998,80,115,41.02564102564102,58.97435897435898,100000
Final4,connecticut,Connecticut,iowa,Iowa,193,0.193,159,34,82.38341968911918,17.616580310880828,100000
Final4,villanova,Villanova,virginia,Virginia,187,0.187,44,143,23.52941176470588,76.47058823529412,100000
Final4,alabama,Alabama,wisconsin,Wisconsin,186,0.186,80,106,43.01075268817204,56.98924731182796,100000
Final4,arizona,Arizona,wright_st,Wright St.,186,0.186,165,21,88.70967741935483,11.29032258064516,100000
Final4,houston,Houston,n_dakota_st,N Dakota St.,184,0.184,154,30,83.69565217391305,16.304347826086957,100000
Final4,louisville,Louisville,nebraska,Nebraska,181,0.181,91,90,50.27624309392266,49.72375690607735,100000
Final4,high_point,High Point,virginia,Virginia,177,0.17700000000000002,54,123,30.508474576271187,69.49152542372882,100000
Final4,florida,Florida,n_dakota_st,N Dakota St.,175,0.17500000000000002,151,24,86.28571428571429,13.714285714285715,100000
Final4,connecticut,Connecticut,texas_a_and_m,Texas A&M,172,0.172,140,32,81.3953488372093,18.6046511627907,100000
Final4,arkansas,Arkansas,saint_louis,Saint Louis,168,0.168,109,59,64.88095238095238,35.11904761904761,100000
Final4,byu,BYU,iowa_st,Iowa St.,161,0.161,68,93,42.2360248447205,57.7639751552795,100000
Final4,mcneese,McNeese,st_johns,St. John's,159,0.159,39,120,24.528301886792452,75.47169811320755,100000
Final4,texas_tech,Texas Tech,wisconsin,Wisconsin,159,0.159,73,86,45.911949685534594,54.088050314465406,100000
Final4,duke,Duke,troy,Troy,157,0.157,150,7,95.54140127388536,4.45859872611465,100000
Final4,arkansas,Arkansas,mia_oh,MIA OH,153,0.153,99,54,64.70588235294117,35.294117647058826,100000
Final4,hofstra,Hofstra,purdue,Purdue,150,0.15,28,122,18.666666666666668,81.33333333333333,100000
Final4,alabama,Alabama,byu,BYU,145,0.145,91,54,62.758620689655174,37.24137931034483,100000
Final4,cal_baptist,Cal Baptist,houston,Houston,143,0.14300000000000002,23,120,16.083916083916083,83.91608391608392,100000
Final4,kansas,Kansas,north_carolina,North Carolina,143,0.14300000000000002,75,68,52.44755244755245,47.55244755244755,100000
Final4,cal_baptist,Cal Baptist,florida,Florida,139,0.13899999999999998,29,110,20.863309352517987,79.13669064748201,100000
Final4,illinois,Illinois,south_florida,South Florida,138,0.13799999999999998,97,41,70.28985507246377,29.71014492753623,100000
Final4,arizona,Arizona,tennessee_st,Tennessee St.,135,0.135,123,12,91.11111111111111,8.88888888888889,100000
Final4,georgia,Georgia,gonzaga,Gonzaga,135,0.135,32,103,23.703703703703706,76.29629629629629,100000
Final4,kansas,Kansas,saint_marys,Saint Mary's,135,0.135,75,60,55.55555555555556,44.44444444444444,100000
Final4,michigan_st,Michigan St.,vcu,VCU,135,0.135,60,75,44.44444444444444,55.55555555555556,100000
Final4,kansas,Kansas,vcu,VCU,129,0.129,69,60,53.48837209302325,46.51162790697674,100000
Final4,illinois,Illinois,tcu,TCU,120,0.12,74,46,61.66666666666667,38.333333333333336,100000
Final4,florida,Florida,northern_iowa,Northern Iowa,119,0.11900000000000001,95,24,79.83193277310924,20.168067226890756,100000
