Team,ELO,Blended,Blended_EloScale
New Hampshire,1007.64,-1.3959986121795134,1031.3035701738377
Binghamton,1010.69,-1.410233583258454,1028.1519747306063
North Florida,1014.96,-1.42026810159009,1025.930351513135
Rider,1014.65,-1.4955437385887982,1009.2644690722188
Southern Indiana,986.15,-1.5194607603194703,1003.9692860835042
Air Force,987.19,-1.614824458290904,982.8559452618222
Maryland Eastern Shore,942.88,-1.618966907192171,981.9388149769306
Gardner-Webb,960.65,-1.6567293146206499,973.5782900052216
VMI,936.75,-1.7142807695919549,960.8365076557488
Western Illinois,893.17,-1.8890625534633636,922.140154108259
UMKC,882.62,-1.9501222436925842,908.6216551647508
