season,team_id_canon,Team,elo,efficiency_rating,ap_latest_rank,ap_preseason_rank,efficiency_source,ap_latest_inverted,ap_preseason_inverted,elo_norm,efficiency_rating_norm,ap_latest_inverted_norm,ap_preseason_inverted_norm,blended,blended_elo_scale
2026,duke,Duke,1909.68,32.98465989380002,1.0,6.0,torvik,-1.0,-6.0,2.800162472253178,2.533526563724712,6.1488380229227495,4.4915381743944245,3.1796034261479273,2044.3331333576102
2026,arizona,Arizona,1903.89,32.98845376248818,2.0,13.0,torvik,-2.0,-13.0,2.771683992854006,2.5341522005676347,5.89319509887043,2.829112693688631,3.0510767696544234,2015.8775767785073
2026,michigan,Michigan,1872.09,31.984309174529734,3.0,7.0,torvik,-3.0,-7.0,2.6152736914906742,2.3685613745568626,5.63755217481811,4.254048820007882,2.962433448709206,1996.252114611103
2026,houston,Houston,1777.42,28.96187516730833,5.0,2.0,torvik,-5.0,-2.0,2.149633338343929,1.870139782865177,5.126266326713471,5.441495591940592,2.5699657165389036,1909.3605073528943
2026,florida,Florida,1786.41,26.0,4.0,3.0,torvik,-4.0,-3.0,2.1938512191381534,1.3817047891631766,5.381909250765791,5.20400623755405,2.5413428087254655,1903.023450162078
2026,purdue,Purdue,1767.19,27.971523182030033,8.0,1.0,torvik,-8.0,-1.0,2.0993164395091215,1.706823458453111,4.359337554556512,5.678984946327134,2.4454280291963593,1881.7881009347323
2026,connecticut,Connecticut,1743.27,29.961279925352063,7.0,4.0,torvik,-7.0,-4.0,1.9816644140811062,2.034948976071132,4.614980478608832,4.966516883167508,2.4022313282867027,1872.2244337523728
2026,virginia,Virginia,1761.56,29.921138072654816,9.0,26.0,torvik,-9.0,-26.0,2.0716249301797007,2.028329289399062,4.103694630504193,-0.2582489133364143,2.1518438619192484,1816.7891263204283
2026,gonzaga,Gonzaga,1747.01,30.9364347931528,12.0,21.0,torvik,-12.0,-21.0,2.0000598394615734,2.1957591840670263,3.336765858347234,0.9291978585962953,2.1095422439976934,1807.423628804236
2026,st_johns,St. John's,1805.23,28.82364171104813,26.0,5.0,torvik,-26.0,-5.0,2.2864185735928038,1.8473440694998442,-0.2422350783852396,4.729027528780966,2.0898224805404633,1803.0577107908618
2026,arkansas,Arkansas,1758.59,26.89252060603813,14.0,14.0,torvik,-14.0,-14.0,2.057016798259918,1.528887999786232,2.825480010242595,2.591623339302089,2.081374126739241,1801.1872613747666
2026,illinois,Illinois,1673.8,24.96403476419251,13.0,17.0,torvik,-13.0,-17.0,1.6399718469203954,1.2108665043454672,3.0811229342949145,1.879155276142463,1.7316803257327116,1723.765720883625
2026,vanderbilt,Vanderbilt,1686.14,26.842393765610787,16.0,26.0,torvik,-16.0,-26.0,1.700666913550066,1.5206217152180406,2.314194162137956,-0.2582489133364143,1.6370670673147272,1702.81852594759
2026,kansas,Kansas,1686.32,23.85319910448372,17.0,19.0,torvik,-17.0,-19.0,1.701552254878537,1.0276815361056026,2.058551238085636,1.4041765673693791,1.6213027610078488,1699.3283386021474
2026,alabama,Alabama,1677.92,23.856161706067702,18.0,15.0,torvik,-18.0,-15.0,1.6602363262165258,1.0281700908907554,1.8029083140333169,2.354133984915547,1.6143884726342903,1697.7975283454598
2026,wisconsin,Wisconsin,1696.19,24.851153613091935,19.0,24.0,torvik,-19.0,-24.0,1.7500984710564016,1.1922515725159837,1.5472653899809972,0.21672979543666956,1.5694696943868116,1687.8525965254219
2026,nebraska,Nebraska,1650.11,26.91833179652577,15.0,26.0,torvik,-15.0,-26.0,1.5234510909676497,1.533144454886846,2.5698370861902755,-0.2582489133364143,1.5404586948625885,1681.4296165701348
2026,texas_tech,Texas Tech,1659.65,22.832457204601795,20.0,10.0,torvik,-20.0,-10.0,1.5703741813766499,0.8593536913189235,1.2916224659286777,3.5415807568482567,1.534406265096774,1680.0896201651797
2026,iowa_st,Iowa St.,1719.04,27.977250932423992,26.0,26.0,torvik,-26.0,-26.0,1.8624876341429455,1.7077680066091168,-0.2422350783852396,-0.2582489133364143,1.5227705913860845,1677.5135042010393
2026,michigan_st,Michigan St.,1705.11,25.90625740545761,26.0,26.0,torvik,-26.0,-26.0,1.7939720524451086,1.3662459460355874,-0.2422350783852396,-0.2582489133364143,1.4235813751115691,1655.553200924349
2026,ucla,UCLA,1663.38,23.704626636488424,26.0,12.0,torvik,-26.0,-12.0,1.5887204211277577,1.0031808436825924,-0.2422350783852396,3.066602048075173,1.3916880159070537,1648.4920720340351
2026,vcu,VCU,1682.47,27.364978432907083,26.0,26.0,torvik,-26.0,-26.0,1.6826157875751153,1.6067997694105105,-0.2422350783852396,-0.2582489133364143,1.3817150632088124,1646.284079330359
2026,saint_marys,Saint Mary's,1675.67,27.601665299945225,26.0,26.0,torvik,-26.0,-26.0,1.6491695596106297,1.6458311741392184,-0.2422350783852396,-0.2582489133364143,1.3641574143429789,1642.3968493632199
2026,louisville,Louisville,1629.11,23.742958515745578,23.0,11.0,torvik,-23.0,-11.0,1.42016126931262,1.0095020524256901,0.524693693771719,3.3040914024617147,1.363212135882945,1642.1875665153161
2026,north_carolina,North Carolina,1649.41,24.635021567092917,21.0,25.0,torvik,-21.0,-25.0,1.520008096912483,1.156609808915843,1.0359795418763582,-0.02075955894987236,1.3400571154162566,1637.0610891529068
