group_id,region,seed,slot_side,team_a,team_b,season,team_a_id_canon,team_b_id_canon
south_16_1_bottom,South,16,bottom,PVAMU,Lehigh,2026,pvamu,lehigh
midwest_11_5_bottom,Midwest,11,bottom,MIA OH,SMU,2026,mia_oh,smu
